datetime,open,high,low,close
1999-09-27,1.046000,1.077600,1.044100,1.073600
1999-10-04,1.073500,1.078000,1.060300,1.063400
1999-10-11,1.063300,1.091300,1.062900,1.081600
1999-10-18,1.081900,1.085200,1.063300,1.067700
1999-10-25,1.067600,1.069500,1.043300,1.055100
1999-11-01,1.054900,1.059400,1.034900,1.041500
1999-11-08,1.044600,1.046300,1.028700,1.031900
1999-11-15,1.032200,1.044500,1.024600,1.030700
1999-11-22,1.030200,1.034500,1.0075999,1.016600
1999-11-29,1.015600,1.020200,0.99890000,1.0024000
1999-12-06,1.0029000,1.030200,0.99900001,1.012900
1999-12-13,1.013700,1.024800,1.0010000,1.0082000
1999-12-20,1.0082000,1.018300,1.0041000,1.013100
1999-12-27,1.012600,1.016000,1.0012000,1.0075001
2000-01-03,1.0052000,1.041900,1.0050000,1.029200
2000-01-10,1.028800,1.037000,1.011100,1.012800
2000-01-17,1.012800,1.019300,1.0049000,1.0091000
2000-01-24,1.0023000,1.0099000,0.97380000,0.97500002
2000-01-31,0.97790003,0.99489999,0.96630001,0.98280001
2000-02-07,0.98360002,0.99659997,0.97539997,0.98689997
2000-02-14,0.98629999,0.99589998,0.97640002,0.98650002
2000-02-21,0.98479998,1.0091000,0.97229999,0.97450000
2000-02-28,0.97479999,0.98650002,0.93919998,0.95990002
2000-03-06,0.95760000,0.97020000,0.95230001,0.96300000
2000-03-13,0.96270001,0.97409999,0.95950001,0.97240001
2000-03-20,0.97280002,0.97899997,0.95760000,0.96670002
2000-03-27,0.96719998,0.97030002,0.94779998,0.95499998
2000-04-03,0.95380002,0.97520000,0.95130002,0.96270001
2000-04-10,0.96249998,0.96730000,0.95090002,0.95240003
2000-04-17,0.95230001,0.95260000,0.93480003,0.93849999
2000-04-24,0.93889999,0.93970001,0.90289998,0.91600001
2000-05-01,0.91530001,0.91780001,0.88459998,0.89749998
2000-05-08,0.89700001,0.92009997,0.89440000,0.91170001
2000-05-15,0.90719998,0.91079998,0.88450003,0.90289998
2000-05-22,0.90259999,0.93440002,0.89770001,0.92659998
2000-05-29,0.92699999,0.95060003,0.92379999,0.94800001
2000-06-05,0.94660002,0.97039998,0.94489998,0.95349997
2000-06-12,0.95370001,0.96960002,0.94959998,0.95690000
2000-06-19,0.95679998,0.96230000,0.92989999,0.93699998
2000-06-26,0.93699998,0.96030003,0.93529999,0.95039999
2000-07-03,0.95060003,0.95990002,0.94599998,0.95529997
2000-07-10,0.95499998,0.95670003,0.93150002,0.93660003
2000-07-17,0.93660003,0.93809998,0.91900003,0.93379998
2000-07-24,0.93339998,0.94499999,0.92210001,0.92629999
2000-07-31,0.92650002,0.92940003,0.89940000,0.90759999
2000-08-07,0.90740001,0.91460001,0.89609998,0.90570003
2000-08-14,0.90600002,0.91869998,0.90069997,0.90210003
2000-08-21,0.90219998,0.90740001,0.89080000,0.90219998
2000-08-28,0.90240002,0.90450001,0.88389999,0.89980000
2000-09-04,0.89980000,0.90410000,0.86330003,0.86619997
2000-09-11,0.86430001,0.87410003,0.85280001,0.85360003
2000-09-18,0.85320002,0.90249997,0.84390002,0.87610000
2000-09-25,0.87989998,0.88870001,0.87120003,0.88389999
2000-10-02,0.88429999,0.88609999,0.86619997,0.86849999
2000-10-09,0.86930001,0.87680000,0.85299999,0.85630000
2000-10-16,0.85470003,0.85790002,0.83270001,0.84210002
2000-10-23,0.84149998,0.84429997,0.82270002,0.83960003
2000-10-30,0.84109998,0.88000000,0.83800000,0.86669999
2000-11-06,0.86690003,0.87330002,0.85159999,0.86040002
2000-11-13,0.86220002,0.86669999,0.84740001,0.84890002
2000-11-20,0.84950000,0.85350001,0.83740002,0.83859998
2000-11-27,0.83920002,0.87970001,0.83840001,0.87870002
2000-12-04,0.87879997,0.89780003,0.87570000,0.88630003
2000-12-11,0.88249999,0.90030003,0.87150002,0.89560002
2000-12-18,0.89440000,0.92650002,0.88810003,0.92439997
2000-12-25,0.92360002,0.94270003,0.91960001,0.94239998
2001-01-01,0.94220001,0.95969999,0.92640001,0.95800000
2001-01-08,0.95760000,0.95940000,0.93640000,0.95200002
2001-01-15,0.95190001,0.95319998,0.92890000,0.93400002
2001-01-22,0.93409997,0.94529998,0.91130000,0.92420000
